,team_name,week_id,days_since_last_game
663,DET,2020_9,7
664,DET,2020_10,7
665,DET,2020_11,7
666,DET,2020_12,4
667,DET,2020_13,10
668,DET,2020_14,7
669,DET,2020_15,7
670,DET,2020_16,6
671,DET,2020_17,8
672,GB,2019_1,365
673,GB,2019_2,10
674,GB,2019_3,7
675,GB,2019_4,4
676,GB,2019_5,10
677,GB,2019_6,8
678,GB,2019_7,6
679,GB,2019_8,7
680,GB,2019_9,7
681,GB,2019_10,7
682,GB,2019_12,14
683,GB,2019_13,7
684,GB,2019_14,7
685,GB,2019_15,7
686,GB,2019_16,8
687,GB,2019_17,6
688,GB,2020_1,259
689,GB,2020_2,7
690,GB,2020_3,7
691,GB,2020_4,8
692,GB,2020_6,13
693,GB,2020_7,7
694,GB,2020_8,7
695,GB,2020_9,4
696,GB,2020_10,10
697,GB,2020_11,7
698,GB,2020_12,7
699,GB,2020_13,7
700,GB,2020_14,7
701,GB,2020_15,6
702,GB,2020_16,8
703,GB,2020_17,7
704,HST,2019_1,365
705,HST,2019_2,6
706,HST,2019_3,7
707,HST,2019_4,7
708,HST,2019_5,7
709,HST,2019_6,7
710,HST,2019_7,7
711,HST,2019_8,7
712,HST,2019_9,7
713,HST,2019_11,14
714,HST,2019_12,4
715,HST,2019_13,10
716,HST,2019_14,7
717,HST,2019_15,7
718,HST,2019_16,6
719,HST,2019_17,8
720,HST,2020_1,256
721,HST,2020_2,10
722,HST,2020_3,7
723,HST,2020_4,7
724,HST,2020_5,7
725,HST,2020_6,7
726,HST,2020_7,7
727,HST,2020_9,14
728,HST,2020_10,7
729,HST,2020_11,7
730,HST,2020_12,4
731,HST,2020_13,10
732,HST,2020_14,7
733,HST,2020_15,7
734,HST,2020_16,7
735,HST,2020_17,7
736,LAR,2019_1,365
737,LAR,2019_2,7
738,LAR,2019_3,7
739,LAR,2019_4,7
740,LAR,2019_5,4
741,LAR,2019_6,10
742,LAR,2019_7,7
743,LAR,2019_8,7
744,LAR,2019_10,14
745,LAR,2019_11,7
746,LAR,2019_12,8
747,LAR,2019_13,6
748,LAR,2019_14,7
749,LAR,2019_15,7
750,LAR,2019_16,6
751,LAR,2019_17,8
752,LAR,2020_1,259
753,LAR,2020_2,7
754,LAR,2020_3,7
755,LAR,2020_4,7
756,LAR,2020_5,7
757,LAR,2020_6,7
758,LAR,2020_7,8
759,LAR,2020_8,6
760,LAR,2020_10,14
761,LAR,2020_11,8
762,LAR,2020_12,6
763,LAR,2020_13,7
764,LAR,2020_14,4
765,LAR,2020_15,10
766,LAR,2020_16,7
767,LAR,2020_17,7
768,NYG,2019_1,365
769,NYG,2019_2,7
770,NYG,2019_3,7
771,NYG,2019_4,7
772,NYG,2019_5,7
773,NYG,2019_6,4
774,NYG,2019_7,10
775,NYG,2019_8,7
776,NYG,2019_9,8
777,NYG,2019_10,6
778,NYG,2019_12,14
779,NYG,2019_13,7
780,NYG,2019_14,8
781,NYG,2019_15,6
782,NYG,2019_16,7
783,NYG,2019_17,7
784,NYG,2020_1,260
785,NYG,2020_2,6
786,NYG,2020_3,7
787,NYG,2020_4,7
788,NYG,2020_5,7
789,NYG,2020_6,7
790,NYG,2020_7,4
791,NYG,2020_8,11
792,NYG,2020_9,6
793,NYG,2020_10,7
794,NYG,2020_12,14
795,NYG,2020_13,7
796,NYG,2020_14,7
797,NYG,2020_15,7
798,NYG,2020_16,7
799,NYG,2020_17,7
800,PIT,2019_1,365
801,PIT,2019_2,7
802,PIT,2019_3,7
803,PIT,2019_4,8
804,PIT,2019_5,6
805,PIT,2019_6,7
806,PIT,2019_8,15
807,PIT,2019_9,6
808,PIT,2019_10,7
809,PIT,2019_11,4
810,PIT,2019_12,10
811,PIT,2019_13,7
812,PIT,2019_14,7
